week_start,operating_system,user_type,sessions,gameplay_anytime_rate,gameplay_within_15s_rate,gameplay_within_30s_rate,promo_event_rate,promo_before_gameplay_rate,deposit_window_rate,deposit_initiated_rate,deposit_success_rate,scroll_rate,search_rate
2025-12-15,Android,NEW_USER,3297,0.58295420078859561,0.26539278131634825,0.38883833788292388,0.069457082195935729,0.023051258720048533,0.40036396724294826,0.235062177737337,0.34425235062177734,0.32878374279648176,0.11282984531392175
2025-12-15,iOS,NEW_USER,2153,0.70970738504412445,0.50209010682768229,0.59730608453320944,0.0543427775197399,0.016720854621458437,0.40733859730608452,0.18253599628425457,0.38086391082210858,0.43195541105434276,0.13005109150023222
2025-12-08,Android,RETURNING_USER,5988,0.623246492985972,0.30945223780895137,0.43620574482297925,0.073480293921175707,0.027889111556446237,0.30895123580494321,0.19338677354709416,0.28440213760855043,0.55694722778891115,0.097027388109552457
2025-12-08,iOS,RETURNING_USER,4240,0.72570754716981134,0.52452830188679245,0.61627358490566031,0.035613207547169831,0.012971698113207546,0.32971698113207543,0.15707547169811323,0.310377358490566,0.5995283018867924,0.1044811320754717
2025-12-08,Android,NEW_USER,3017,0.54888962545575082,0.2512429565793835,0.3732184289028837,0.076234670202187618,0.026847862114683468,0.37719588995691083,0.21909181305933045,0.281405369572423,0.32217434537620149,0.11600928074245941
2025-12-08,iOS,NEW_USER,1921,0.6736074960957833,0.46642373763664763,0.55075481520041647,0.048932847475273288,0.014055179593961482,0.40812077043206663,0.18479958355023429,0.32639250390421659,0.41384695471108796,0.14263404476834982
2025-12-01,Android,RETURNING_USER,5935,0.64684077506318449,0.30581297388374057,0.4471777590564448,0.090817186183656279,0.03150800336983995,0.17809604043807922,0.20168491996630161,0.29064869418702616,0.56545914069081715,0.10480202190395956
2025-12-01,Android,NEW_USER,4152,0.55130057803468213,0.2447013487475915,0.37572254335260119,0.096098265895953772,0.033477842003853557,0.20134874759152219,0.22519267822736036,0.27962427745664736,0.33116570327552997,0.12283236994219654
2025-12-01,iOS,RETURNING_USER,3979,0.76577029404372943,0.54234732344810255,0.64689620507665235,0.048253329982407646,0.014073887911535563,0.17240512691631063,0.1837145011309374,0.32545865795425988,0.63910530283990952,0.12214124151796933
2025-12-01,iOS,NEW_USER,2622,0.69717772692601077,0.46109839816933629,0.56025934401220445,0.053775743707093822,0.019069412662090012,0.20404271548436309,0.19527078565980166,0.33295194508009152,0.42868039664378332,0.15102974828375287
2025-11-24,Android,RETURNING_USER,7425,0.69077441077441093,0.315959595959596,0.4751515151515151,0.12161616161616162,0.043905723905723927,0.047138047138047146,0.18787878787878787,0.28377104377104384,0.62289562289562284,0.094545454545454544
2025-11-24,iOS,RETURNING_USER,4818,0.8132004981320049,0.58011623080116215,0.6853466168534661,0.051266085512660861,0.016811955168119549,0.039227895392278965,0.17642175176421751,0.33561643835616445,0.69863013698630139,0.12058945620589455
2025-11-24,Android,NEW_USER,4209,0.61534806367308148,0.26253266809218345,0.40722261819909722,0.11119030648610123,0.034687574245664064,0.088857210738892856,0.2440009503444999,0.28344024708956989,0.38916607270135428,0.13447374673319079
2025-11-24,iOS,NEW_USER,2559,0.79015240328253233,0.52833137944509589,0.6420476748729973,0.0730754200859711,0.026963657678780787,0.06525986713559985,0.22508792497069172,0.34583821805392728,0.476357952325127,0.16568972254787029
2025-11-17,Android,RETURNING_USER,10043,0.7106442298118093,0.31534402071094303,0.48411829134720685,0.12526137608284379,0.046201334262670521,0.06093796674300507,0.15812008364034655,0.3544757542566962,0.6249128746390521,0.0
2025-11-17,Android,NEW_USER,6142,0.649462715727776,0.26717681536958648,0.42494301530446105,0.12976229241289486,0.042005861282969736,0.092966460436339979,0.19325952458482579,0.36665581243894496,0.41615109084988605,0.0
2025-11-17,iOS,RETURNING_USER,5673,0.83729948880662775,0.5762383218755508,0.68552793936188994,0.049885422175215945,0.017979904812268639,0.051648157941124637,0.14912744579587522,0.39626300017627369,0.72007756037370008,0.0
2025-11-17,iOS,NEW_USER,3632,0.80341409691629961,0.51872246696035229,0.641795154185022,0.065253303964757731,0.024779735682819388,0.071310572687224683,0.18887665198237888,0.41795154185022021,0.49311674008810574,0.0
2025-11-10,Android,RETURNING_USER,79,0.69620253164556967,0.49367088607594928,0.56962025316455689,0.20253164556962025,0.088607594936708875,0.13924050632911392,0.063291139240506333,0.54430379746835444,0.620253164556962,0.0
2025-11-10,iOS,RETURNING_USER,78,0.75641025641025639,0.61538461538461542,0.65384615384615385,0.076923076923076913,0.01282051282051282,0.089743589743589744,0.076923076923076955,0.61538461538461531,0.73076923076923084,0.0
2025-11-10,Android,NEW_USER,34,0.8529411764705882,0.44117647058823528,0.52941176470588236,0.20588235294117646,0.058823529411764719,0.17647058823529413,0.20588235294117646,0.70588235294117652,0.55882352941176472,0.0
2025-11-10,iOS,NEW_USER,22,0.77272727272727271,0.72727272727272729,0.72727272727272729,0.13636363636363638,0.0,0.090909090909090912,0.13636363636363635,0.63636363636363635,0.54545454545454541,0.0
